Row,avg_iac_files_per_commit,Ratio_out_of_cofiles_developers,file_nb_parameters,file_num_ExternalModules,Graph_History_std_degree_centrality,Graph_ContentSimilarity_network_density
261,81,0.06,12,0,0.61,0.61
262,157,0.03,0,0,0.61,0.61
263,157,0.03,2,0,0.61,0.61
264,157,0.03,1,0,0.61,0.61
265,6,0,5,0,0.61,0.61
266,4,0,5,0,0.61,0.61
267,3,0.11,5,0,0.61,0.61
268,157,0.03,0,0,0.61,0.61
269,56.67,0.03,4,0,0.61,0.61
270,57.67,0.03,11,0,0.61,0.61
271,157,0.03,0,0,0.61,0.61
272,157,0.03,0,0,0.61,0.61
273,79.5,0.06,0,0,0.61,0.61
274,84.5,0.03,27,0,0.61,0.61
275,58,0.06,27,0,0.61,0.61
276,81.5,0.03,21,0,0.61,0.61
277,157,0,27,0,0.61,0.61
278,157,0.03,0,0,0.61,0.61
279,84.5,0.03,0,0,0.61,0.61
280,56.67,0.03,0,0,0.61,0.61
281,157,0.03,9,1,0.61,0.61
282,6,0,10,0,0.61,0.61
283,4,0,10,0,0.61,0.61
284,2.6,0.11,10,0,0.61,0.61
285,53,0.1,3,0,0.61,0.61
286,7,0.14,13,0,0.61,0.61
287,7.07,0.03,13,1,0.29,0.71
288,8.93,0.1,19,0,0.29,0.71
289,5.31,0.03,5,0,0.29,0.71
290,3.31,0.12,7,0,0.29,0.71
291,13.5,0.02,3,0,0.29,0.71
292,4.56,0.09,25,0,0.29,0.71
293,11.45,0.05,14,0,0.29,0.71
294,4.95,0.06,10,1,0.29,0.71
295,6.35,0.06,10,1,0.29,0.71
296,4.78,0.06,26,0,0.29,0.71
297,2.17,0.12,3,0,0.29,0.71
298,2.14,0.12,3,0,0.29,0.71
299,2.12,0.12,9,0,0.29,0.71
300,4.74,0.12,12,0,0.29,0.71
301,14.83,0.03,15,0,0.29,0.71
302,12.86,0.04,15,0,0.29,0.71
303,4.55,0.07,2,0,0.29,0.71
304,10.2,0.07,17,0,0.29,0.71
305,9.36,0.07,18,0,0.29,0.71
306,8.67,0.07,18,0,0.29,0.71
307,5.03,0.13,25,1,0.29,0.71
308,5.38,0.09,25,0,0.29,0.71
309,2,0.22,2,0,0.29,0.71
310,6.33,0.05,2,0,0.29,0.71
311,9.12,0.07,5,0,0.29,0.71
312,8.75,0.04,12,0,0.29,0.71
313,13,0.07,8,0,0.29,0.71
314,3.27,0.09,2,1,0.29,0.71
315,9.31,0.11,10,0,0.29,0.71
316,2.97,0.1,32,2,0.29,0.71
317,2.95,0.11,32,2,0.29,0.71
318,3.68,0.11,32,2,0.3,0.71
319,3.62,0.11,32,2,0.3,0.71
320,2.71,0.05,2,2,0.29,0.71
321,7.36,0.07,14,0,0.29,0.71
322,8.22,0.07,8,0,0.29,0.71
323,5.44,0.11,3,2,0.29,0.71
324,7.29,0.08,8,0,0.29,0.71
325,6.87,0.08,8,0,0.29,0.71
326,6.21,0.05,6,0,0.29,0.71
327,7.5,0.04,14,0,0.29,0.71
328,2.55,0.09,10,0,0.29,0.71
329,2.42,0.09,8,0,0.29,0.71
330,2.38,0.09,8,0,0.29,0.71
331,2.36,0.09,16,0,0.29,0.71
332,3.79,0.08,0,1,0.29,0.71
333,3.18,0.08,0,1,0.29,0.71
334,4,0.08,0,1,0.3,0.71
335,6.86,0.05,26,0,0.29,0.71
336,6.59,0.05,26,0,0.29,0.71
337,8.79,0.08,10,0,0.29,0.71
338,5.42,0.07,1,2,0.29,0.71
339,52.86,0.05,0,2,0.45,0.84
340,151,0.03,0,3,0.45,0.84
341,151,0.03,0,3,0.45,0.84
342,5.5,0.02,0,2,0.45,0.84
343,40,0.04,0,2,0.41,0.84
344,151,0.03,0,4,0.45,0.84
345,76,0.02,0,2,0.45,0.84
346,33.5,0.04,0,2,0.45,0.84
347,34.8,0.05,0,2,0.44,0.84
348,5.5,0.02,0,2,0.45,0.84
349,40,0.04,0,2,0.41,0.84
350,42.5,0.04,0,2,0.45,0.84
351,4.2,0.05,0,2,0.45,0.84
352,6.83,0.07,0,2,0.45,0.84
353,9,0.02,0,2,0.45,0.84
354,29,0.04,0,2,0.41,0.84
355,33.5,0.04,0,2,0.45,0.84
356,34.8,0.05,0,2,0.44,0.84
357,30.14,0.07,0,2,0.45,0.84
358,151,0.03,0,3,0.45,0.84
359,5,0.17,0,1,0.45,0.84
360,59.5,0.05,0,2,0.45,0.84
361,54.33,0.04,0,2,0.45,0.84
362,151,0.03,0,3,0.45,0.84
363,151,0.03,0,3,0.45,0.84
364,28.4,0.06,0,2,0.45,0.84
365,23.83,0.05,0,2,0.45,0.84
366,10,0.03,0,2,0.45,0.84
367,4,1,4,0,0.45,0.84
368,15.33,0.5,4,0,0.45,0.84
369,54.5,0.5,2,2,0.4,0.84
370,52.4,0.5,0,3,0.4,0.84
