Row,iac_file_churn,files_num_normalized_resources,iac_file_dependency,nb_files,nb_noniac_files,avg_files_per_commit,nb_content_sim_files,nb_path_sim_files,Ratio_out_of_cofiles_developers,file_nb_parameters,file_nb_variables,file_nb_resources,Graph_History_network_density,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_std_degree_centrality,Graph_ContentSimilarity_network_density,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_network_density,Graph_PathSimilarity_Degree_centrality
25,16,0.03,2,54,45,6.03,2,53,0.15,37,22,8,0.05,0.93,0.95,0.38,0.81,0.97,0.69,2.01
26,11,0.03,2,54,45,6.03,2,53,0.15,37,22,8,0.05,0.93,0.95,0.38,0.81,0.97,0.69,2.01
27,10,0.03,2,55,46,6.03,2,54,0.15,37,22,8,0.05,0.93,0.95,0.38,0.81,0.97,0.68,2.01
28,12,0.03,2,55,46,6.03,2,54,0.15,37,22,8,0.03,0.95,0.96,0.38,0.81,0.97,0.68,2.01
29,3,0.03,2,55,46,6.04,2,54,0.15,37,22,8,0.03,0.96,0.96,0.38,0.81,0.97,0.68,2.01
30,2,0,1,9,4,3.86,1,12,0.11,0,0,0,0.37,0,0.51,0.38,0.81,0.94,1.01,2.01
31,4,0,1,10,5,3.86,1,13,0.11,0,0,0,0.35,0.05,0.52,0.38,0.81,0.94,0.99,2.01
32,13,0,1,15,9,3.87,1,18,0.11,0,0,0,0.28,0.25,0.57,0.38,0.81,0.94,0.93,2.01
33,1,0,1,17,11,3.87,1,20,0.11,0,0,0,0.22,0.41,0.61,0.38,0.81,0.94,0.91,2.01
34,169,0,1,21,15,3.87,1,24,0.09,0,0,0,0.12,0.68,0.73,0.38,0.81,0.94,0.86,2.01
35,5,0,1,26,20,3.88,1,29,0.08,0,0,0,0.07,0.88,0.88,0.38,0.81,0.94,0.81,2.01
36,3,0,1,43,37,3.89,1,46,0.08,0,0,0,0.05,0.93,0.91,0.38,0.81,0.94,0.67,2.01
37,9,0,1,43,37,3.89,1,46,0.08,0,0,0,0.05,0.93,0.91,0.38,0.81,0.94,0.67,2.01
38,7,0,1,46,40,3.9,1,49,0.08,0,0,0,0.04,0.94,0.91,0.38,0.81,0.94,0.65,2.01
39,26,0.02,1,46,40,3.9,1,49,0.08,0,0,2,0.04,0.94,0.91,0.38,0.81,0.94,0.65,2.01
40,58,0.02,1,46,40,3.91,1,49,0.08,0,0,2,0.03,0.96,0.93,0.38,0.81,0.94,0.65,2.01
41,6,0.02,6,27,17,9.91,4,22,0.31,26,22,6,0.37,0.19,0.78,0.38,0.81,0.98,1.01,2.01
42,30,0.02,6,28,17,9.91,4,23,0.31,26,23,6,0.32,0.3,0.79,0.38,0.81,0.98,0.99,2.01
43,55,0.02,7,32,21,9.91,4,27,0.31,26,24,7,0.27,0.41,0.81,0.38,0.81,0.98,0.94,2.01
44,50,0.02,7,34,23,9.91,5,29,0.31,27,24,7,0.21,0.53,0.83,0.38,0.81,0.98,0.92,2.01
45,40,0.02,7,39,28,9.91,7,34,0.31,27,24,7,0.11,0.85,0.95,0.38,0.81,0.98,0.86,2.01
46,12,0.02,7,57,46,9.91,7,52,0.31,27,24,7,0.06,0.92,0.96,0.38,0.81,0.98,0.7,2.01
47,19,0.02,7,57,46,9.91,7,52,0.31,28,24,7,0.06,0.92,0.96,0.38,0.81,0.98,0.7,2.01
48,12,0.02,7,58,47,9.91,7,53,0.31,28,24,7,0.05,0.94,0.97,0.38,0.81,0.98,0.69,2.01
49,2,0.02,7,58,47,9.91,7,53,0.31,28,24,7,0.05,0.95,0.97,0.38,0.81,0.98,0.69,2.01
50,661,0.01,9,61,50,9.91,7,56,0.31,45,32,7,0.04,0.95,0.97,0.38,0.81,0.98,0.67,2.01
51,70,0.01,9,61,50,9.91,10,56,0.31,46,31,8,0.03,0.97,0.97,0.38,0.81,0.98,0.67,2.01
52,14,0.01,9,61,50,9.91,10,56,0.31,46,31,8,0.03,0.97,0.98,0.38,0.81,0.98,0.67,2.01
53,2,0,0,3,1,2.99,4,12,0.25,1,1,0,0.37,0,0.44,0.38,0.81,0.86,1.01,2.01
54,2,0,0,2,0,2.99,1,12,1,2,2,0,0.37,0,0.06,0.38,0.81,0.86,1.01,2.01
55,16,0.02,9,23,15,15.42,4,21,0.29,32,20,7,0.37,0.06,0.7,0.38,0.81,0.99,1.01,2.01
56,5,0.02,9,26,18,15.42,5,24,0.29,33,21,7,0.27,0.32,0.74,0.38,0.81,0.99,0.97,2.01
57,37,0.02,9,26,18,15.42,6,24,0.29,34,25,8,0.26,0.35,0.76,0.38,0.81,0.99,0.97,2.01
58,10,0.02,9,28,20,15.42,6,26,0.29,34,25,8,0.24,0.4,0.77,0.38,0.81,0.99,0.94,2.01
59,24,0.02,9,33,25,15.42,6,31,0.29,35,26,8,0.12,0.82,0.93,0.38,0.81,0.99,0.88,2.01
60,1,0.02,9,36,28,15.42,8,34,0.29,35,26,8,0.08,0.87,0.94,0.38,0.81,0.99,0.85,2.01
61,435,0.01,13,36,28,15.42,8,34,0.29,60,49,8,0.08,0.87,0.94,0.38,0.81,0.99,0.85,2.01
62,2,0.01,13,50,42,15.43,8,48,0.29,60,49,8,0.04,0.94,0.96,0.38,0.81,0.99,0.72,2.01
63,26,0.07,0,19,12,29.23,2,21,0.17,6,2,5,0.37,0,0.64,0.38,0.81,0.95,1.01,2.01
64,2,0.07,0,24,17,29.24,3,26,0.17,6,2,5,0.15,0.73,0.87,0.38,0.81,0.95,0.94,2.01
65,2,0,0,3,1,3.98,4,12,0.25,1,1,0,0.37,0,0.44,0.38,0.81,0.86,1.01,2.01
66,17,0.04,8,20,13,37.04,3,21,0.14,34,17,7,0.37,0,0.66,0.38,0.81,0.99,1.01,2.01
67,11,0.04,8,22,15,37.04,4,23,0.14,34,17,7,0.33,0.1,0.67,0.38,0.81,0.99,0.98,2.01
68,2,0.04,8,27,20,37.04,5,28,0.14,34,17,7,0.14,0.75,0.89,0.38,0.81,0.99,0.92,2.01
69,4,0.13,0,2,2,1.66,1,13,0.33,1,0,2,0.37,0,0.4,0.38,0.81,0.89,1.01,2.01
70,2,0,0,2,0,2.99,3,12,1,0,1,0,0.37,0,0.06,0.38,0.81,0.87,1.01,2.01
71,38,0.03,6,23,15,37.2,1,21,0.14,20,10,4,0.37,0.1,0.7,0.38,0.81,0.97,1.01,2.01
72,2,0.03,6,28,20,37.2,1,26,0.14,20,10,4,0.15,0.76,0.91,0.38,0.81,0.97,0.94,2.01
73,8,0.14,1,106,26,8.03,1,50,0.2,0,8,5,0.65,0.01,0.83,0.27,0.93,0.97,1.01,2.01
74,3,0.14,1,116,32,8.03,1,60,0.19,0,9,5,0.57,0.14,0.86,0.27,0.93,0.97,0.89,2.01
75,2,0.14,1,116,32,8.03,1,60,0.18,0,9,5,0.57,0.14,0.86,0.27,0.93,0.97,0.89,2.01
76,11,0.03,2,121,41,13.94,4,51,0.07,17,23,6,0.65,0.01,0.92,0.27,0.93,0.98,1.01,2.01
77,2,0.03,2,121,41,13.94,7,51,0.07,17,23,6,0.65,0.01,0.92,0.27,0.93,0.98,1.01,2.01
78,2,0.03,2,127,42,13.94,7,57,0.09,17,23,6,0.6,0.09,0.92,0.27,0.93,0.98,0.94,2.01
79,2,0.03,2,137,48,13.95,7,67,0.09,17,23,6,0.52,0.21,0.93,0.27,0.93,0.98,0.83,2.01
80,12,0.03,2,137,48,13.95,7,67,0.09,17,23,6,0.52,0.21,0.93,0.27,0.93,0.98,0.83,2.01
81,8,0.03,2,137,48,13.94,7,67,0.08,17,23,6,0.52,0.21,0.93,0.27,0.93,0.98,0.83,2.01
82,9,0.03,2,141,52,13.94,7,71,0.1,18,23,6,0.5,0.25,0.94,0.27,0.93,0.98,0.8,2.01
83,47,0.03,2,141,52,13.94,9,71,0.1,18,24,6,0.5,0.25,0.94,0.27,0.93,0.98,0.8,2.01
84,36,0.03,2,141,52,13.94,9,71,0.09,18,24,6,0.49,0.26,0.95,0.27,0.93,0.98,0.8,2.01
85,2,0.03,2,141,52,13.96,14,71,0.11,18,24,6,0.49,0.26,0.95,0.27,0.93,0.98,0.8,2.01
86,139,0.03,2,150,61,13.97,14,74,0.11,18,13,5,0.42,0.37,0.97,0.27,0.93,0.98,0.72,2.01
87,2,0.15,3,120,40,24.47,1,50,0.15,2,5,6,0.65,0.01,0.91,0.27,0.93,0.97,1.01,2.01
88,7,0.29,0,12,1,7.14,2,25,0.12,0,0,2,0.65,0,0.5,0.27,0.93,0.93,1.01,2.01
89,8,0.07,2,125,45,23.5,2,50,0.1,4,3,4,0.65,0.01,0.94,0.27,0.93,0.96,1.01,2.01
90,5,0.06,2,120,40,20.32,2,50,0.1,2,3,3,0.65,0.01,0.91,0.27,0.93,0.97,1.01,2.01
91,11,0.07,0,103,23,17,1,51,0.11,0,7,2,0.65,0,0.82,0.27,0.93,0.97,1.01,2.01
92,23,0.05,0,103,23,16.99,1,51,0.11,0,7,2,0.65,0,0.82,0.27,0.93,0.97,1.01,2.01
93,8,0.05,0,103,23,16.98,1,51,0.11,0,7,2,0.65,0,0.82,0.27,0.93,0.97,1.01,2.01
94,2,0.05,0,103,23,16.97,1,51,0.11,0,7,2,0.65,0,0.82,0.27,0.93,0.97,1.01,2.01
