Row,nb_noniac_files,nb_path_sim_files,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_Degree_centrality
70,-1.768305567,-2.19151711,-0.889847408,-2.586860842,-1.797777543,0.33700345
71,-0.07898076,-1.516125888,0.989666112,0.232031482,0.040132007,0.33700345
72,0.169148301,-1.262369592,1.906176439,1.579736611,0.040132007,0.33700345
73,0.415996219,-0.498901255,-0.583805968,1.04001734,0.040132007,0.33700345
74,0.626043049,-0.289612708,1.305626508,1.238570881,0.040132007,0.33700345
75,0.626043049,-0.289612708,1.305626508,1.238570881,0.040132007,0.33700345
76,0.894700398,-0.476094876,-0.583805968,1.649516579,0.434418745,0.33700345
77,0.894700398,-0.476094876,-0.583805968,1.649516579,0.434418745,0.33700345
78,0.92190437,-0.348336838,0.885623883,1.649516579,0.434418745,0.33700345
79,1.076240052,-0.163690709,1.613089134,1.719814816,0.434418745,0.33700345
80,1.076240052,-0.163690709,1.613089134,1.719814816,0.434418745,0.33700345
81,1.076240052,-0.163690709,1.613089134,1.719814816,0.434418745,0.33700345
82,1.171727324,-0.097744309,1.710180408,1.790632457,0.434418745,0.33700345
83,1.171727324,-0.097744309,1.710180408,1.790632457,0.434418745,0.33700345
84,1.171727324,-0.097744309,1.728892925,1.861970631,0.434418745,0.33700345
85,1.171727324,-0.097744309,1.728892925,1.861970631,0.434418745,0.33700345
86,1.369024044,-0.050773167,1.849045101,2.006213089,0.434418745,0.33700345
87,0.867027144,-0.498901255,-0.583805968,1.579736611,0.040132007,0.33700345
88,-1.460601444,-1.308805233,-0.889847408,-0.849506199,-1.046886885,0.33700345
89,1.000880988,-0.498901255,-0.583805968,1.790632457,-0.297981111,0.33700345
90,0.867027144,-0.498901255,-0.583805968,1.579736611,0.040132007,0.33700345
91,0.298128844,-0.476094876,-0.889847408,0.974850191,0.040132007,0.33700345
92,0.298128844,-0.476094876,-0.889847408,0.974850191,0.040132007,0.33700345
93,0.298128844,-0.476094876,-0.889847408,0.974850191,0.040132007,0.33700345
94,0.298128844,-0.476094876,-0.889847408,0.974850191,0.040132007,0.33700345
95,-0.256048362,-1.262369592,-0.889847408,0.594447547,-1.227434095,0.33700345
96,-0.194037083,-1.262369592,-0.583805968,0.656591958,-0.587564514,0.33700345
97,-0.194037083,-1.262369592,-0.583805968,0.656591958,-0.587564514,0.33700345
98,0.123218321,-0.879910845,1.305626508,0.910189777,-0.587564514,0.33700345
99,0.298128844,-0.646565253,1.689486735,0.974850191,-0.587564514,0.33700345
100,0.298128844,-0.646565253,1.689486735,0.974850191,-0.587564514,0.33700345
101,-0.256048362,-2.856633307,-0.889847408,0.594447547,-1.227434095,0.33700345
102,-0.256048362,-1.308805233,-0.889847408,0.532802776,-0.587564514,0.33700345
103,-0.135130476,-1.262369592,-0.583805968,0.719237199,-0.587564514,0.33700345
104,0.169148301,-0.879910845,1.305626508,0.910189777,-0.587564514,0.33700345
105,0.338537926,-0.646565253,1.689486735,0.974850191,-0.587564514,0.33700345
106,-0.256048362,-0.476094876,-0.889847408,0.532802776,0.893651281,0.33700345
107,-0.256048362,-0.476094876,-0.583805968,0.532802776,0.893651281,0.33700345
108,-0.256048362,-0.476094876,-0.583805968,0.532802776,0.893651281,0.33700345
109,-0.256048362,-0.476094876,-0.074755159,0.594447547,0.893651281,0.33700345
110,-0.256048362,-0.476094876,-0.074755159,0.594447547,0.893651281,0.33700345
111,0.256491669,-0.389301382,1.581882835,0.78238446,0.893651281,0.33700345
112,-0.256048362,-2.856633307,-0.889847408,0.532802776,-0.835271557,0.33700345
113,0.810192052,-0.498901255,-0.889847408,1.510473775,0.893651281,0.33700345
114,0.810192052,-0.498901255,-0.889847408,1.510473775,0.893651281,0.33700345
115,0.810192052,-0.498901255,-0.889847408,1.510473775,0.434418745,0.33700345
116,0.810192052,-0.498901255,-0.889847408,1.510473775,0.434418745,0.33700345
117,1.051497995,-0.476094876,0.136633738,1.933830468,1.427885624,0.33700345
118,1.051497995,-0.476094876,0.136633738,1.933830468,1.427885624,0.33700345
119,1.051497995,-0.476094876,0.136633738,1.933830468,1.427885624,0.33700345
120,1.051497995,-0.453749094,0.323938953,1.933830468,1.427885624,0.33700345
121,1.051497995,-0.453749094,0.323938953,1.933830468,1.427885624,0.33700345
122,1.171727324,-0.348336838,1.165321233,1.933830468,1.427885624,0.33700345
123,1.171727324,-0.348336838,1.239374685,1.933830468,1.427885624,0.33700345
124,1.171727324,-0.348336838,1.239374685,1.933830468,1.427885624,0.33700345
125,1.369024044,-0.289612708,1.728892925,1.933830468,1.427885624,0.33700345
126,1.389645779,-0.289612708,1.761165057,1.933830468,1.427885624,0.33700345
127,-0.256048362,-1.262369592,-0.583805968,0.656591958,-0.835271557,0.33700345
128,0.075607936,-0.879910845,1.305626508,0.910189777,-0.835271557,0.33700345
129,0.256491669,-0.646565253,1.689486735,0.974850191,-0.835271557,0.33700345
130,0.256491669,-0.646565253,1.710180408,0.974850191,-0.835271557,0.33700345
131,0.867027144,-0.498901255,-0.583805968,1.579736611,-0.297981111,0.33700345
132,-0.256048362,-1.308805233,-0.889847408,0.532802776,-0.587564514,0.33700345
133,-0.256048362,-1.262369592,-0.889847408,0.532802776,-1.227434095,0.33700345
134,-0.256048362,-1.262369592,-0.313604813,0.594447547,-1.227434095,0.33700345
135,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
136,0.867027144,-0.476094876,-0.583805968,1.579736611,-0.297981111,0.33700345
137,0.867027144,-0.476094876,-0.583805968,1.579736611,-0.297981111,0.33700345
138,1.000880988,-0.498901255,-0.583805968,1.790632457,0.040132007,0.33700345
139,1.000880988,-0.498901255,-0.583805968,1.790632457,0.040132007,0.33700345
140,-0.256048362,-1.308805233,-0.889847408,0.532802776,-0.587564514,0.33700345
141,-0.256048362,-1.308805233,-0.313604813,0.594447547,-0.587564514,0.33700345
142,-0.256048362,-1.262369592,-0.889847408,0.532802776,-0.587564514,0.33700345
143,0.075607936,-0.879910845,1.305626508,0.78238446,-0.587564514,0.33700345
144,0.559323422,-0.215897357,1.865340824,0.974850191,-0.587564514,0.33700345
145,1.000880988,-0.476094876,-0.583805968,1.790632457,0.893651281,0.33700345
146,1.000880988,-0.476094876,-0.583805968,1.790632457,0.893651281,0.33700345
147,1.026382889,-0.348336838,0.885623883,1.861970631,0.893651281,0.33700345
148,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
149,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
150,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
151,1.171727324,-0.163690709,1.613089134,1.933830468,0.893651281,0.33700345
152,1.262169912,-0.097744309,1.710180408,1.933830468,0.893651281,0.33700345
153,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
154,1.262169912,-0.097744309,1.728892925,1.933830468,0.893651281,0.33700345
155,1.262169912,-0.097744309,1.745827479,1.933830468,0.893651281,0.33700345
156,1.262169912,-0.097744309,1.745827479,1.933830468,0.893651281,0.33700345
157,1.450132999,-0.050773167,1.854977789,2.006213089,0.893651281,0.33700345
158,0.810192052,-0.498901255,-0.889847408,1.510473775,-0.297981111,0.33700345
159,0.810192052,-0.498901255,-0.889847408,1.510473775,-0.297981111,0.33700345
160,0.810192052,-0.498901255,-0.889847408,1.510473775,-0.297981111,0.33700345
161,0.810192052,-0.498901255,-0.889847408,1.510473775,0.434418745,0.33700345
