source,instances,feature_iac_file_loc,feature_iac_file_churn,feature_files_num_normalized_resources,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_nb_resources,feature_file_fanin,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
puppet-tp,28,282,12,0.03,2,55,9,46,6.03,3.67,6.64,2,54,0.15,1,37,22,8,0,0.18,0.03,1.92,0.95,0.96,0.38,0.81,1.95,0,0.97,0.63,0.68,2.01,0.32,1
puppet-tp,29,283,3,0.03,2,55,9,46,6.04,4.35,7.21,2,54,0.15,1,37,22,8,0,0.17,0.03,1.92,0.96,0.96,0.38,0.81,1.95,0,0.97,0.63,0.68,2.01,0.32,1
puppet-tp,30,73,2,0,1,9,5,4,3.86,3.22,0.67,1,12,0.11,0.33,0,0,0,0,0.5,0.37,0.5,0,0.51,0.38,0.81,1.89,0,0.94,0,1.01,2.01,0,1
puppet-tp,31,77,4,0,1,10,5,5,3.86,3.1,0.8,1,13,0.11,0.33,0,0,0,0,0.49,0.35,0.54,0.05,0.52,0.38,0.81,1.89,0,0.94,0.16,0.99,2.01,0.01,1
puppet-tp,32,86,13,0,1,15,6,9,3.87,3.27,1.36,1,18,0.11,0.33,0,0,0,0,0.45,0.28,0.81,0.25,0.57,0.38,0.81,1.89,0,0.94,0.37,0.93,2.01,0.08,1
puppet-tp,33,87,1,0,1,17,6,11,3.87,3.42,1.92,1,20,0.11,0.33,0,0,0,0,0.4,0.22,0.96,0.41,0.61,0.38,0.81,1.89,0,0.94,0.42,0.91,2.01,0.1,1
puppet-tp,34,86,169,0,1,21,6,15,3.87,3.38,3.69,1,24,0.09,0.33,0,0,0,0,0.3,0.12,1.38,0.68,0.73,0.38,0.81,1.89,0,0.94,0.49,0.86,2.01,0.14,1
puppet-tp,35,91,5,0,1,26,6,20,3.88,4.21,5.5,1,29,0.08,0.33,0,0,0,0,0.25,0.07,1.74,0.88,0.88,0.38,0.81,1.89,0,0.94,0.55,0.81,2.01,0.2,1
puppet-tp,36,92,3,0,1,43,6,37,3.89,4.27,8.2,1,46,0.08,0.33,0,0,0,0,0.21,0.05,1.79,0.93,0.91,0.38,0.81,1.89,0,0.94,0.64,0.67,2.01,0.34,1
puppet-tp,37,101,9,0,1,43,6,37,3.89,4.12,7.75,1,46,0.08,0.33,0,0,0,0,0.21,0.05,1.79,0.93,0.91,0.38,0.81,1.89,0,0.94,0.64,0.67,2.01,0.34,1
puppet-tp,38,106,7,0,1,46,6,40,3.9,4.29,8.24,1,49,0.08,0.33,0,0,0,0,0.19,0.04,1.81,0.94,0.91,0.38,0.81,1.89,0,0.94,0.64,0.65,2.01,0.36,1
puppet-tp,39,114,26,0.02,1,46,6,40,3.9,4.33,8.11,1,49,0.08,0.33,0,0,2,0,0.19,0.04,1.81,0.94,0.91,0.38,0.81,1.89,0,0.94,0.64,0.65,2.01,0.36,1
puppet-tp,40,120,58,0.02,1,46,6,40,3.91,5.16,9.53,1,49,0.08,0.5,0,0,2,0,0.17,0.03,1.84,0.96,0.93,0.38,0.81,1.89,0,0.94,0.64,0.65,2.01,0.36,1
puppet-tp,41,378,6,0.02,6,27,10,17,9.91,2.78,8.69,4,22,0.31,1.33,26,22,6,0,0.5,0.37,1.5,0.19,0.78,0.38,0.81,1.97,0,0.98,0,1.01,2.01,0,1
puppet-tp,42,400,30,0.02,6,28,11,17,9.91,2.78,8.63,4,23,0.31,1.33,26,23,6,0,0.48,0.32,1.54,0.3,0.79,0.38,0.81,1.97,0,0.98,0.16,0.99,2.01,0.01,1
puppet-tp,43,429,55,0.02,7,32,11,21,9.91,2.82,8.6,4,27,0.31,1.33,26,24,7,1,0.45,0.27,1.58,0.41,0.81,0.38,0.81,1.97,0,0.98,0.34,0.94,2.01,0.06,1
puppet-tp,44,439,50,0.02,7,34,11,23,9.91,2.82,8.45,5,29,0.31,1.33,27,24,7,1,0.41,0.21,1.63,0.53,0.83,0.38,0.81,1.97,0,0.98,0.4,0.92,2.01,0.09,1
puppet-tp,45,467,40,0.02,7,39,11,28,9.91,3.02,8.78,7,34,0.31,1.33,27,24,7,1,0.31,0.11,1.89,0.85,0.95,0.38,0.81,1.97,0,0.98,0.49,0.86,2.01,0.14,1
puppet-tp,46,469,12,0.02,7,57,11,46,9.91,3.05,9.36,7,52,0.31,1.33,27,24,7,1,0.24,0.06,1.92,0.92,0.96,0.38,0.81,1.97,0,0.98,0.62,0.7,2.01,0.31,1
puppet-tp,47,474,19,0.02,7,57,11,46,9.91,3.03,9.23,7,52,0.31,1.33,28,24,7,1,0.24,0.06,1.92,0.92,0.96,0.38,0.81,1.97,0,0.98,0.62,0.7,2.01,0.31,1
puppet-tp,48,478,12,0.02,7,58,11,47,9.91,3.03,9.55,7,53,0.31,1.33,28,24,7,1,0.21,0.05,1.93,0.94,0.97,0.38,0.81,1.97,0,0.98,0.63,0.69,2.01,0.32,1
puppet-tp,49,478,2,0.02,7,58,11,47,9.91,3.03,9.51,7,53,0.31,1.33,28,24,7,1,0.21,0.05,1.93,0.95,0.97,0.38,0.81,1.97,0,0.98,0.63,0.69,2.01,0.32,1
puppet-tp,50,633,661,0.01,9,61,11,50,9.91,3.06,9.46,7,56,0.31,1.33,45,32,7,1,0.2,0.04,1.94,0.95,0.97,0.38,0.81,1.97,0,0.98,0.64,0.67,2.01,0.34,1
puppet-tp,51,651,70,0.01,9,61,11,50,9.91,3.3,9.83,10,56,0.31,2,46,31,8,1,0.18,0.03,1.95,0.97,0.97,0.38,0.81,1.97,0,0.98,0.64,0.67,2.01,0.34,1
puppet-tp,52,651,14,0.01,9,61,11,50,9.91,3.72,10.13,10,56,0.31,2,46,31,8,1,0.17,0.03,1.95,0.97,0.98,0.38,0.81,1.97,0,0.98,0.64,0.67,2.01,0.34,1
puppet-tp,53,9,2,0,0,3,2,1,2.99,2.5,0.5,4,12,0.25,0.33,1,1,0,0,0.5,0.37,0.17,0,0.44,0.38,0.81,1.7,0,0.86,0,1.01,2.01,0,1
puppet-tp,54,15,2,0,0,2,2,0,2.99,3,0,1,12,1,0.33,2,2,0,0,0.5,0.37,0.11,0,0.06,0.38,0.81,1.7,0,0.86,0,1.01,2.01,0,1
puppet-tp,55,365,16,0.02,9,23,8,15,15.42,3.52,14.64,4,21,0.29,1.33,32,20,7,1,0.5,0.37,1.28,0.06,0.7,0.38,0.81,2,0,0.99,0,1.01,2.01,0,1
puppet-tp,56,368,5,0.02,9,26,8,18,15.42,3.56,14.44,5,24,0.29,1.33,33,21,7,1,0.45,0.27,1.4,0.32,0.74,0.38,0.81,2,0,0.99,0.27,0.97,2.01,0.04,1
puppet-tp,57,393,37,0.02,9,26,8,18,15.42,3.51,14.23,6,24,0.29,1.33,34,25,8,1,0.45,0.26,1.45,0.35,0.76,0.38,0.81,2,0,0.99,0.27,0.97,2.01,0.04,1
puppet-tp,58,391,10,0.02,9,28,8,20,15.42,3.47,13.92,6,26,0.29,1.33,34,25,8,1,0.43,0.24,1.48,0.4,0.77,0.38,0.81,2,0,0.99,0.34,0.94,2.01,0.06,1
puppet-tp,59,397,24,0.02,9,33,8,25,15.42,3.78,14.32,6,31,0.29,1.33,35,26,8,1,0.32,0.12,1.86,0.82,0.93,0.38,0.81,2,0,0.99,0.46,0.88,2.01,0.12,1
puppet-tp,60,398,1,0.02,9,36,8,28,15.42,3.87,14.37,8,34,0.29,1.33,35,26,8,1,0.27,0.08,1.88,0.87,0.94,0.38,0.81,2,0,0.99,0.5,0.85,2.01,0.16,1
puppet-tp,61,581,435,0.01,13,36,8,28,15.42,3.9,14.15,8,34,0.29,2,60,49,8,1,0.27,0.08,1.88,0.87,0.94,0.38,0.81,2,0,0.99,0.5,0.85,2.01,0.16,1
puppet-tp,62,581,2,0.01,13,50,8,42,15.43,4.62,14.58,8,48,0.29,2,60,49,8,1,0.2,0.04,1.92,0.94,0.96,0.38,0.81,2,0,0.99,0.61,0.72,2.01,0.29,1
puppet-tp,63,77,26,0.07,0,19,7,12,29.23,8.67,23.33,2,21,0.17,0.67,6,2,5,0,0.5,0.37,1.06,0,0.64,0.38,0.81,1.92,0,0.95,0,1.01,2.01,0,1
puppet-tp,64,77,2,0.07,0,24,7,17,29.24,10.25,24.75,3,26,0.17,1,6,2,5,0,0.35,0.15,1.7,0.73,0.87,0.38,0.81,1.92,0,0.95,0.34,0.94,2.01,0.06,1
