instances,source,feature_iac_file_loc,feature_iac_file_churn,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_avg_play_size,feature_file_avg_task_size,feature_file_num_plays,feature_file_num_tasks,feature_file_num_commands,feature_file_num_blocks,feature_file_num_Distinctmodules,feature_file_num_ExternalModules,feature_file_num_FactModules,feature_file_num_Paths,feature_file_num_Roles,feature_file_num_DeprecatedModules,feature_num_ImportedRoles,feature_num_ImportedPlaybooks,feature_num_ImportedTasks,feature_num_IncludedRoles,feature_num_IncludedVars,feature_num_Includes,feature_num_IncludedTasks,feature_file_num_normalized_resources,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
56,ansible-collection-hardening,65,4,0,85,37,48,19.07,12.78,8.67,1,37,0.1,0.5,0,0,0,30,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.06,0.57,0.48,1.68,0.19,0.86,0.34,0.85,1.95,0,0.97,0.21,0.98,2.01,0.02,1
57,ansible-collection-hardening,137,2,7,80,37,43,12.82,8.45,7.18,1,36,0.17,0.6,0,2,0,7,0,18,0,0,0,18,0,0,0,0,0,0,0,0,1,0,6,0.13,0.56,0.56,1.52,0.01,0.81,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
58,ansible-collection-hardening,137,2,7,80,37,43,12.82,8.08,7.08,1,36,0.16,0.9,0,2,0,7,0,18,0,0,0,18,0,0,0,0,0,0,0,0,1,0,6,0.13,0.57,0.53,1.57,0.07,0.82,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
59,Infra,14,1,0,2,1,1,2.38,1.5,1,1,28,0.5,0.5,5,0,0,6,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.14,0.29,0.17,0.05,0,0.03,0.45,0.66,1.31,0,0.74,0,1.01,2.01,0,1
60,Infra,13,3,0,7,2,5,9.6,4,7,1,27,0.25,0.5,7,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.29,0.17,0.18,0,0.43,0.45,0.66,1.05,0,0.67,0,1.01,2.01,0,1
61,Infra,29,9,3,9,2,7,5.13,2.2,3.4,1,31,0.17,0.5,4,0,0,4,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0.17,0.29,0.17,0.23,0.01,0.44,0.45,0.66,1.66,0,0.85,0,1.01,2.01,0,1
62,Infra,28,3,3,11,3,8,5.14,2.5,3.67,1,33,0.17,0.5,4,0,0,4,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0.18,0.28,0.15,0.35,0.09,0.46,0.45,0.66,1.66,0,0.85,0.23,0.98,2.01,0.03,1
63,Infra,80,9,0,9,2,7,4.94,2.2,3.2,2,27,0.17,0.5,14,0,0,9,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0.07,0.29,0.17,0.23,0.01,0.44,0.45,0.66,1.79,0,0.9,0,1.01,2.01,0,1
64,ansible-hardening,59,2,3,23,10,13,4.55,4.11,1.71,1,21,0.13,0.23,5,2,0,6,0,7,1,0,7,0,0,1,0,0,0,0,0,0,1,0,2,0.12,0.36,0.19,0.62,0.05,0.58,0.25,0.87,1.96,0,0.97,0,1.01,2.02,0,1
65,ansible-hardening,59,76,3,23,10,13,4.55,4.21,1.66,1,21,0.15,0.29,5,2,0,6,0,7,1,0,7,0,0,1,0,0,0,0,1,0,1,0,1,0.12,0.36,0.19,0.76,0.06,0.61,0.25,0.87,1.96,0,0.97,0,1.01,2.02,0,1
66,ansible-hardening,59,14,3,23,10,13,4.55,4.13,1.6,1,21,0.13,0.86,5,2,0,6,0,7,1,0,7,0,0,1,0,0,0,0,1,0,1,0,1,0.12,0.36,0.19,0.76,0.06,0.61,0.25,0.87,1.96,0,0.97,0,1.01,2.02,0,1
67,ansible-hardening,140,2,0,32,14,18,4.57,3.27,2.73,1,20,0.08,0.14,18,3,0,12,0,8,2,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,0.86,0.01,0.63,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
68,ansible-hardening,140,8,0,32,14,18,4.57,3.58,2.5,1,20,0.08,0.57,18,3,0,12,0,8,2,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,0.89,0.01,0.64,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
69,ansible-hardening,140,4,0,34,14,20,4.64,4.46,2.85,1,22,0.1,0.83,18,3,0,12,0,8,2,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0.06,0.35,0.18,1,0.07,0.66,0.25,0.87,1.98,0,0.98,0.27,0.97,2.02,0.04,1
70,ansible-hardening,164,2,0,29,13,16,3.6,2.76,1.59,1,19,0.09,0.14,11,5,0,13,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.78,0.01,0.6,0.25,0.87,1.9,0,0.95,0,1.01,2.02,0,1
71,ansible-hardening,164,4,0,29,13,16,3.61,3,1.5,1,19,0.09,0.57,11,5,0,13,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.81,0.01,0.61,0.25,0.87,1.9,0,0.95,0,1.01,2.02,0,1
72,ansible-hardening,164,4,0,31,13,18,3.65,3.63,1.79,1,21,0.11,0.83,11,5,0,13,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.95,0.07,0.64,0.25,0.87,1.9,0,0.95,0.27,0.97,2.02,0.04,1
73,ansible-hardening,164,4,0,31,13,18,3.66,3.75,1.9,1,21,0.11,1,11,5,0,13,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.95,0.07,0.64,0.25,0.87,1.9,0,0.95,0.27,0.97,2.02,0.04,1
74,ansible-hardening,156,14,0,31,13,18,3.67,3.86,1.81,1,21,0.14,6,11,5,0,12,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.95,0.07,0.64,0.25,0.87,1.9,0,0.95,0.27,0.97,2.02,0.04,1
75,ansible-hardening,249,8,0,12,6,6,4.07,3,2,1,20,0.03,0.14,33,4,0,13,0,17,4,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.32,0,0.54,0.25,0.87,2,0,0.99,0,1.01,2.02,0,1
76,ansible-hardening,249,4,0,14,6,8,4.12,3.6,2.2,1,22,0.05,0.29,33,4,0,13,0,17,4,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.42,0.05,0.55,0.25,0.87,2,0,0.99,0.27,0.97,2.02,0.04,1
77,ansible-hardening,249,2,0,16,6,10,4.27,5.5,3,1,24,0.04,0.33,33,4,0,13,0,17,4,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0.07,0.34,0.18,0.72,0.11,0.6,0.25,0.87,2,0,0.99,0.36,0.94,2.02,0.07,1
78,ansible-hardening,92,4,0,22,6,16,4.81,3.45,2.7,1,4,0.09,4,19,0,0,4,0,15,5,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0.16,0.36,0.19,0.59,0.04,0.58,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
79,ansible-hardening,440,12,0,31,14,17,2.91,1.89,1.44,1,20,0.1,0.5,54,13,0,11,0,36,10,0,36,0,0,12,0,0,0,0,0,0,0,0,0,0.08,0.36,0.19,0.84,0.01,0.63,0.25,0.87,2.02,0,1,0,1.01,2.02,0,1
